"Language","original","english","french","czech","german","russian","polish","hungarian","italian","spanish","chinese","japanese","portuguese","chinesesimp",
"STR_SP_PLAYER_CONDITIONS_TITLE","CONDITIONS","CONDITIONS","CONDITIONS","STAV","BEDINGUNGEN","УСЛОВИЯ","WARUNKI","FELTÉTELEK","CONDIZIONI","CONDICIONES","服务器状态","コンディション","CONDIÇÕES","服务器状态",
"STR_SP_PLAYER_INGAME_DATE_TITLE","In Game Date","In Game Date","Date en jeu","Datum ve hře","Datum im Spiel","Дата в игре","Data w grze","Játékbeli dátum","Data di gioco","Fecha en el juego","服务器日期","ゲーム内日付","Data do jogo","服务器日期",
"STR_SP_PLAYER_SESSION_TIME_TITLE","Session Time","Online Since","En ligne depuis","Doba online","Online seit","В игре с","Online od","Online óta","Online da","En línea desde","上线时长","オンライン時間","Online desde","上线时长",
"STR_SP_PLAYER_WHATS_IN_HANDS_TITLE","What's in my Hands ?","What's in my Hands ?","Qu'est-ce que j'ai dans les mains ?","Co mám v rukou?","Was ist in meinen Händen?","Что у меня в руках?","Co mam w rękach?","Mit van a kezemben?","Cosa ho in mano?","¿Qué tengo en mis manos?","手中物品","手の中にあるものは？","Tenho o quê nas mãos?","手中物品",
"STR_SP_PLAYER_CHARACTER_TITLE","CHARACTER","CHARACTER","PERSONNAGE","POSTAVA","CHARAKTER","ПЕРСОНАЖ","POSTAĆ","KARAKTER","PERSONAGGIO","PERSONAJE","角色","キャラクター","PERSONAGEM","角色",
"STR_SP_PLAYER_GENDER_TITLE","Gender","Gender","Genre","Pohlaví","Geschlecht","Пол","Płeć","Nem","Genere","Género","性别","性別","Gênero","性别",
"STR_SP_PLAYER_BLOOD_GROUP_TITLE","Blood group","Blood group","Groupe sanguin","Krevní skupina","Blutgruppe","Группа крови","Grupa krwi","Vércsoport","Gruppo sanguigno","Grupo sanguíneo","血型","血液型","Grupo sanguíneo","血型",
"STR_SP_PLAYER_INFORMATION_TITLE","Player Information","Player Information","Infos sur le joueur","Informace o hráči","Spielerinformationen","Информация о игроке","Informacje o graczu","Játékosinformációk","Informazioni sul giocatore","Información del jugador","玩家信息","プレイヤー情報","Informações do jogador","玩家信息",
"STR_SP_PLAYER_HEALTH_TITLE","Health","Health","Santé","Zdraví","Gesundheit","Здоровье","Zdrowie","Egészség","Salute","Salud","健康","健康","Saúde","健康",
"STR_SP_PLAYER_BLOOD_TITLE","Blood","Blood","Sang","Krev","Blut","Кровь","Krew","Vér","Sangue","Sangre","血液","血液","Sangue","血液",
"STR_SP_PLAYER_WATER_TITLE","Water","Water","Hydration","Hydratace","Wasser","Вода","Woda","Víz","Acqua","Agua","水","水","Água","水",
"STR_SP_ONLINE_PLAYERS_TITLE","Online Players","Online Players","Joueurs en ligne","Hráči online","Online-Spieler","Онлайн-игроки","Gracze online","Online játékosok","Giocatori online","Jugadores en línea","在线人数","オンラインプレイヤー","Jogadores online","在线人数",
"STR_SP_DISEASE_SICK","Sick","Sick","Malade","Nemocný","Krank","Больной","Chory","Betegség","Malato","Enfermo","生病","病気","Doente","生病",
